LISTEN                                          UNIT                            ACTIVATES
0.0.0.0:22                                      ssh.socket                      ssh.service
[::]:22                                         ssh.socket                      ssh.service
kobject-uevent 1                                systemd-udevd-kernel.socket     systemd-udevd.service
/dev/rfkill                                     systemd-rfkill.socket           systemd-rfkill.service
/run/avahi-daemon/socket                        avahi-daemon.socket             avahi-daemon.service
/run/cups/cups.sock                             cups.socket                     cups.service
/run/dbus/system_bus_socket                     dbus.socket                     dbus.service
/run/docker.sock                                docker.socket                   docker.service
/run/polkit/agent-helper.socket                 polkit-agent-helper.socket      -
/run/snapd-snap.socket                          snapd.socket                    snapd.service
/run/snapd.socket                               snapd.socket                    snapd.service
/run/ssh-unix-local/socket                      sshd-unix-local.socket          -
/run/systemd/io.systemd.AskPassword             systemd-ask-password.socket     -
/run/systemd/io.systemd.Credentials             systemd-creds.socket            -
/run/systemd/io.systemd.FactoryReset            systemd-factory-reset.socket    -
/run/systemd/io.systemd.Hostname                systemd-hostnamed.socket        systemd-hostnamed.service
/run/systemd/io.systemd.Login                   systemd-logind-varlink.socket   systemd-logind.service
/run/systemd/io.systemd.MuteConsole             systemd-mute-console.socket     -
/run/systemd/io.systemd.sysext                  systemd-sysext.socket           -
/run/systemd/journal/dev-log                    systemd-journald-dev-log.socket systemd-journald.service
/run/systemd/journal/socket                     systemd-journald.socket         systemd-journald.service
/run/systemd/journal/stdout                     systemd-journald.socket         systemd-journald.service
/run/systemd/journal/syslog                     syslog.socket                   rsyslog.service
/run/systemd/oom/io.systemd.ManagedOOM          systemd-oomd.socket             systemd-oomd.service
/run/systemd/resolve/io.systemd.Resolve         systemd-resolved-varlink.socket systemd-resolved.service
/run/systemd/resolve/io.systemd.Resolve.Monitor systemd-resolved-monitor.socket systemd-resolved.service
/run/udev/control                               systemd-udevd-control.socket    systemd-udevd.service
/run/udev/io.systemd.Udev                       systemd-udevd-varlink.socket    systemd-udevd.service
/run/uuidd/request                              uuidd.socket                    uuidd.service

29 sockets listed.
Pass --all to see loaded but inactive sockets, too.
